algorithm,building,time,discovered_states,deepest_depth,rewards
BFS,0,2.3960580825805664,1001,6,[(157; 5; -0.17069951818799375)]
DFS,0,1.923224687576294,1001,9,[(17; 5; -0.6582475855344944); (32; 8; -0.6537350496291727); (37; 9; -0.581097821892598); (137; 9; -0.5381989844156292); (587; 9; -0.5098392759626085); (602; 9; -0.4531904675223186)]
A_star,0,2.547443389892578,1001,7,[(67; 5; -0.17069951818799375)]
BFS,0,28.957643508911133,10001,7,[(157; 5; -0.17069951818799375)]
BFS_MC,0,1.6909613609313965,1065,9,[(23; 5; -0.4133954013278956); (44; 5; -0.17069951818799375)]
MCTS,0,3.118144989013672,1909,15,[(5; 5; -0.6648941259226738); (6; 6; -0.5540784382688949); (7; 7; -0.47492437565905277); (8; 8; -0.41555882870167116); (12; 12; -0.40416295293731325); (16; 12; -0.3992937994750337); (22; 12; -0.3654028906127513); (23; 12; -0.3498035502947195); (59; 12; -0.17069951818799375)]
BFS_Reward,0,2.8797495365142822,1001,7,[(67; 5; -0.17069951818799375)]
DFS,0,20.92272186279297,10001,9,[(17; 5; -0.6582475855344944); (32; 8; -0.6537350496291727); (37; 9; -0.581097821892598); (137; 9; -0.5381989844156292); (587; 9; -0.5098392759626085); (602; 9; -0.4531904675223186); (2912; 9; -0.45070161996802977); (3082; 9; -0.4437580841784182); (3097; 9; -0.3944516303808162); (3127; 9; -0.39315948653771243)]
A_star,0,68.52371525764465,10001,9,[(67; 5; -0.17069951818799375)]
BFS_MC,0,15.52228331565857,10065,20,[(23; 5; -0.5567890554807127); (24; 5; -0.17069951818799375)]
MCTS,0,14.197083950042725,10091,18,[(5; 5; -0.507398869916995); (6; 6; -0.4275159616976643); (8; 8; -0.41627155277822264); (59; 12; -0.4133954013278956); (70; 13; -0.17069951818799375); (3323; 16; -0.16040336820054393); (3917; 16; -0.15037815768800994)]
BFS_Reward,0,98.39554691314697,10001,21,[(67; 5; -0.17069951818799375); (1992; 15; -0.16040336820054393); (1997; 16; -0.15037815768800994); (2017; 18; -0.14220254431489646)]
